	Отрасль промышленности	Код ОКВЭД 2	Наименование кода ОКВЭД 2	Код ОКПД 2	Наименование продукции по коду ОКПД2
	Автомобильная промышленность	29.20.2	Производство кузовов для грузовых автомобилей	29.20.10	Кузова для автотранспортных средств
	Автомобильная промышленность	29.20.3	Производство кузовов для автобусов	29.20.10	Кузова для автотранспортных средств
	Автомобильная промышленность	29.3	Производство комплектующих и принадлежностей для автотранспортных средств	29.3	Части и принадлежности для автотранспортных средств
	Автомобильная промышленность	29.31	Производство электрического и электронного оборудования для автотранспортных средств	29.31	Оборудование электрическое и электронное для автотранспортных средств
	Автомобильная промышленность	29.31	Производство электрического и электронного оборудования для автотранспортных средств	29.31.23	Приборы освещения и световой сигнализации электрические, стеклоочистители, антиобледенители и антизапотеватели для транспортных средств и мотоциклов
	Автомобильная промышленность	29.32	Производство прочих комплектующих и принадлежностей для автотранспортных средств	29.32	Комплектующие и принадлежности для автотранспортных средств прочие
	Железнодорожное машиностроение	30.20	Производство железнодорожных локомотивов и подвижного состава	30.20	Локомотивы железнодорожные и подвижной состав
	Железнодорожное машиностроение	30.20.1	Производство железнодорожных локомотивов	30.20.1	Локомотивы железнодорожные и тендеры локомотивов
	Железнодорожное машиностроение	30.20.11	Производство магистральных электровозов	30.20.11.110	Электровозы магистральные
	Железнодорожное машиностроение	30.20.11	Производство магистральных электровозов	30.20.11.130	Электровозы промышленные
	Железнодорожное машиностроение	30.20.12	Производство магистральных тепловозов	30.20.12.110	Тепловозы магистральные
	Железнодорожное машиностроение	30.20.13	Производство маневровых тепловозов	30.20.12.120	Тепловозы маневровые и промышленные
	Железнодорожное машиностроение	30.20.2	Производство моторных железнодорожных, трамвайных вагонов и вагонов метро,	30.20.2	Вагоны железнодорожные или трамвайные пассажирские самоходные (моторные), вагоны товарные (багажные) и платформы
			автодрезин, кроме транспортных средств для ремонта и технического обслуживания железнодорожных и трамвайных путей		открытые, кроме транспортных средств, предназначенных для технического обслуживания или ремонта
	Железнодорожное машиностроение	30.20.2	Производство моторных железнодорожных, трамвайных вагонов и вагонов метро, автодрезин, кроме транспортных средств для ремонта и технического обслуживания железнодорожных и трамвайных путей	30.20.20.110	Вагоны пассажирские железнодорожные самоходные (моторные)
	Железнодорожное машиностроение	30.20.2	Производство моторных железнодорожных, трамвайных вагонов и вагонов метро, автодрезин, кроме транспортных средств для ремонта и технического обслуживания железнодорожных и трамвайных путей	30.20.20.111	Вагоны пассажирские электропоездов самоходные (моторные)
	Железнодорожное машиностроение	30.20.2	Производство моторных железнодорожных, трамвайных вагонов и вагонов метро, автодрезин, кроме транспортных средств для ремонта и технического обслуживания железнодорожных и трамвайных путей	30.20.20.112	Дизель-поезда
	Железнодорожное машиностроение	30.20.2	Производство моторных железнодорожных, трамвайных вагонов и вагонов метро, автодрезин, кроме транспортных средств для ремонта и технического обслуживания железнодорожных и трамвайных путей	30.20.20.113	Автомотрисы
	Железнодорожное машиностроение	30.20.2	Производство моторных железнодорожных, трамвайных вагонов и вагонов метро, автодрезин, кроме транспортных средств для ремонта и технического	30.20.20.114	Автобусы рельсовые
			обслуживания железнодорожных и трамвайных путей		
	Железнодорожное машиностроение	30.20.2	Производство моторных железнодорожных, трамвайных вагонов и вагонов метро, автодрезин, кроме транспортных средств для ремонта и технического обслуживания железнодорожных и трамвайных путей	30.20.20.120	Вагоны трамвайные пассажирские самоходные (моторные)
	Железнодорожное машиностроение	30.20.2	Производство моторных железнодорожных, трамвайных вагонов и вагонов метро, автодрезин, кроме транспортных средств для ремонта и технического обслуживания железнодорожных и трамвайных путей	30.20.20.130	Вагоны товарные (багажные) и платформы открытые, кроме транспортных средств, предназначенных для технического обслуживания или ремонта
	Железнодорожное машиностроение	30.20.2	Производство моторных железнодорожных, трамвайных вагонов и вагонов метро, автодрезин, кроме транспортных средств для ремонта и технического обслуживания железнодорожных и трамвайных путей	30.20.20.140	Вагоны метрополитена самоходные (моторные)
	Железнодорожное машиностроение	30.20.3	Производство прочего подвижного состава	30.20.3	Состав подвижной прочий
	Железнодорожное машиностроение	30.20.31	Производство транспортных средств для ремонта и технического обслуживания железнодорожных, трамвайных и прочих путей	30.20.31	Средства транспортные, предназначенные для технического обслуживания или ремонта железнодорожных или трамвайных путей
	Железнодорожное машиностроение	30.20.31	Производство транспортных средств для ремонта и технического обслуживания железнодорожных, трамвайных и прочих путей	30.20.31.110	Средства транспортные, предназначенные для технического обслуживания или ремонта железнодорожных путей
	Железнодорожное машиностроение	30.20.31	Производство транспортных средств для ремонта и технического обслуживания железнодорожных, трамвайных и прочих путей	30.20.31.111	Машины для оздоровления земляного полотна
	Железнодорожное машиностроение	30.20.31	Производство транспортных средств для ремонта и технического обслуживания железнодорожных, трамвайных и прочих путей	30.20.31.112	Машины для очистки и дозировки балласта
	Железнодорожное машиностроение	30.20.31	Производство транспортных средств для ремонта и технического обслуживания железнодорожных, трамвайных и прочих путей	30.20.31.113	Машины для сборки, укладки и разборки путевой решетки
	Железнодорожное машиностроение	30.20.31	Производство транспортных средств для ремонта и технического обслуживания железнодорожных, трамвайных и прочих путей	30.20.31.114	Машины для уплотнения, выправки, подбивки и рихтовки путей
	Железнодорожное машиностроение	30.20.31	Производство транспортных средств для ремонта и технического обслуживания железнодорожных, трамвайных и прочих путей	30.20.31.115	Машины для очистки путей от снега, мусора и растительности
	Железнодорожное машиностроение	30.20.31	Производство транспортных средств для ремонта и технического обслуживания железнодорожных, трамвайных и прочих путей	30.20.31.116	Машины для погрузки и транспортирования звеньев путей, материалов и перевозки людей, не включенные в другие группировки
	Железнодорожное машиностроение	30.20.31	Производство транспортных средств для ремонта и технического обслуживания железнодорожных, трамвайных и прочих путей	30.20.31.117	Машины энергосиловые и сварочные путевые и агрегаты
	Железнодорожное машиностроение	30.20.31	Производство транспортных средств для ремонта и технического обслуживания железнодорожных, трамвайных и прочих путей	30.20.31.118	Машины и инструменты для работы с отдельными элементами верхнего строения пути
	Железнодорожное машиностроение	30.20.31	Производство транспортных средств для ремонта и технического обслуживания железнодорожных, трамвайных и прочих путей	30.20.31.121	Дефектоскопы, вагоны дефектоскопные, тележки
	Железнодорожное машиностроение	30.20.31	Производство транспортных средств для ремонта и технического обслуживания железнодорожных, трамвайных и прочих путей	30.20.31.122	Тележки, вагоны и инструменты путеизмерительные
	Железнодорожное	30.20.31	Производство транспортных средств	30.20.31.123	Машины ремонтные рельсошлифовальные
	машиностроение		для ремонта и технического обслуживания железнодорожных, трамвайных и прочих путей		
	Железнодорожное машиностроение	30.20.31	Производство транспортных средств для ремонта и технического обслуживания железнодорожных, трамвайных и прочих путей	30.20.31.124	Машины шпалоремонтные
	Железнодорожное машиностроение	30.20.31	Производство транспортных средств для ремонта и технического обслуживания железнодорожных, трамвайных и прочих путей	30.20.31.125	Машины для перевозки ремонтных бригад
	Железнодорожное машиностроение	30.20.31	Производство транспортных средств для ремонта и технического обслуживания железнодорожных, трамвайных и прочих путей	30.20.31.129	Оборудование и механизмы для ремонта путей узкой колеи
	Железнодорожное машиностроение	30.20.31	Производство транспортных средств для ремонта и технического обслуживания железнодорожных, трамвайных и прочих путей	30.20.31.130	Средства транспортные, предназначенные для технического обслуживания или ремонта трамвайных путей
	Железнодорожное машиностроение	30.20.32	Производство немоторных пассажирских железнодорожных, трамвайных вагонов и вагонов метро, багажных, почтовых и прочих вагонов специального назначения, кроме вагонов, предназначенных для ремонта и технического обслуживания путей	30.20.32	"Вагоны железнодорожные или трамвайные пассажирские немоторные; вагоны багажные и прочие вагоны специального назначения"
	Железнодорожное машиностроение	30.20.32	Производство немоторных пассажирских железнодорожных, трамвайных вагонов и вагонов метро, багажных, почтовых и прочих вагонов специального назначения, кроме вагонов, предназначенных для ремонта и технического обслуживания путей	30.20.32.110	Вагоны пассажирские железнодорожные
	Железнодорожное машиностроение	30.20.32	Производство немоторных пассажирских железнодорожных, трамвайных вагонов и вагонов метро, багажных, почтовых и прочих вагонов специального назначения, кроме вагонов, предназначенных для ремонта и технического обслуживания путей	30.20.32.111	Вагоны пассажирские локомотивной тяги
	Железнодорожное машиностроение	30.20.32	Производство немоторных пассажирских железнодорожных, трамвайных вагонов и вагонов метро, багажных, почтовых и прочих вагонов специального назначения, кроме вагонов, предназначенных для ремонта и технического обслуживания путей	30.20.32.112	Вагоны пассажирские электропоездов немоторные
	Железнодорожное машиностроение	30.20.32	Производство немоторных пассажирских железнодорожных, трамвайных вагонов и вагонов метро, багажных, почтовых и прочих вагонов специального назначения, кроме вагонов, предназначенных для ремонта и технического обслуживания путей	30.20.32.120	Вагоны трамвайные пассажирские немоторные
	Железнодорожное машиностроение	30.20.32	Производство немоторных пассажирских железнодорожных, трамвайных вагонов и вагонов метро, багажных, почтовых и прочих вагонов специального назначения, кроме вагонов, предназначенных для ремонта и технического обслуживания путей	30.20.32.130	Вагоны метрополитена немоторные
	Железнодорожное машиностроение	30.20.32	Производство немоторных пассажирских железнодорожных, трамвайных вагонов и вагонов метро, багажных, почтовых и прочих вагонов специального назначения, кроме вагонов, предназначенных для ремонта и технического обслуживания путей	30.20.32.140	Вагоны багажные
	Железнодорожное машиностроение	30.20.32	Производство немоторных пассажирских железнодорожных, трамвайных вагонов и вагонов метро, багажных, почтовых и прочих вагонов специального назначения, кроме вагонов, предназначенных для ремонта и технического обслуживания путей	30.20.32.190	Вагоны специального назначения прочие
	Железнодорожное машиностроение	30.20.33	Производство несамоходных железнодорожных, трамвайных и прочих вагонов для перевозки грузов	30.20.33	Вагоны железнодорожные или трамвайные грузовые и вагоны-платформы, несамоходные
	Железнодорожное машиностроение	30.20.33	Производство несамоходных железнодорожных, трамвайных и прочих вагонов для перевозки грузов	30.20.33.110	Вагоны грузовые магистральные широкой колеи
	Железнодорожное машиностроение	30.20.33	Производство несамоходных железнодорожных, трамвайных и прочих вагонов для перевозки грузов	30.20.33.111	Вагоны грузовые крытые
	Железнодорожное машиностроение	30.20.33	Производство несамоходных железнодорожных, трамвайных и прочих вагонов для перевозки грузов	30.20.33.112	Полувагоны
	Железнодорожное машиностроение	30.20.33	Производство несамоходных железнодорожных, трамвайных и прочих вагонов для перевозки грузов	30.20.33.113	Вагоны-цистерны
	Железнодорожное	30.20.33	Производство несамоходных	30.20.33.114	Вагоны изотермические
	машиностроение		железнодорожных, трамвайных и прочих вагонов для перевозки грузов		
	Железнодорожное машиностроение	30.20.33	Производство несамоходных железнодорожных, трамвайных и прочих вагонов для перевозки грузов	30.20.33.115	Вагоны-самосвалы (думпкары)
	Железнодорожное машиностроение	30.20.33	Производство несамоходных железнодорожных, трамвайных и прочих вагонов для перевозки грузов	30.20.33.116	Вагоны-хопперы
	Железнодорожное машиностроение	30.20.33	Производство несамоходных железнодорожных, трамвайных и прочих вагонов для перевозки грузов	30.20.33.117	Транспортеры железнодорожные
	Железнодорожное машиностроение	30.20.33	Производство несамоходных железнодорожных, трамвайных и прочих вагонов для перевозки грузов	30.20.33.118	Вагоны-платформы железнодорожные
	Железнодорожное машиностроение	30.20.33	Производство несамоходных железнодорожных, трамвайных и прочих вагонов для перевозки грузов	30.20.33.121	Вагоны бункерного типа
	Железнодорожное машиностроение	30.20.33	Производство несамоходных железнодорожных, трамвайных и прочих вагонов для перевозки грузов	30.20.33.129	Вагоны грузовые прочие, не включенные в другие группировки
	Железнодорожное машиностроение	30.20.33	Производство несамоходных железнодорожных, трамвайных и прочих вагонов для перевозки грузов	30.20.33.130	Вагоны грузовые узкой колеи
	Железнодорожное машиностроение	30.20.33	Производство несамоходных железнодорожных, трамвайных и прочих вагонов для перевозки грузов	30.20.33.140	Вагоны трамвайные грузовые
	Железнодорожное	30.20.4	Производство частей	30.20.40.110	Комплектующие (запасные части)
	машиностроение		"железнодорожных локомотивов, трамвайных и прочих моторных вагонов и подвижного состава; производство путевого оборудования и устройств для железнодорожных, трамвайных и прочих путей, механического и электромеханического оборудования для управления движением"		железнодорожных локомотивов, не имеющие самостоятельных группировок
	Железнодорожное машиностроение	30.20.4	"Производство частей железнодорожных локомотивов, трамвайных и прочих моторных вагонов и подвижного состава; производство путевого оборудования и устройств для железнодорожных, трамвайных и прочих путей, механического и электромеханического оборудования для управления движением"	30.20.40.120	Комплектующие (запасные части) моторных трамвайных вагонов, не имеющие самостоятельных группировок
	Железнодорожное машиностроение	30.20.4	"Производство частей железнодорожных локомотивов, трамвайных и прочих моторных вагонов и подвижного состава; производство путевого оборудования и устройств для железнодорожных, трамвайных и прочих путей, механического и электромеханического оборудования для управления движением"	30.20.40.130	Комплектующие (запасные части) вагонов метрополитена, не имеющие самостоятельных группировок
	Железнодорожное машиностроение	30.20.4	"Производство частей железнодорожных локомотивов, трамвайных и прочих моторных вагонов и подвижного состава; производство путевого"	30.20.40.140	Комплектующие (запасные части) прочего подвижного состава, не имеющие самостоятельных группировок
			оборудования и устройств для железнодорожных, трамвайных и прочих путей, механического и электромеханического оборудования для управления движением		
	Железнодорожное машиностроение	30.20.4	"Производство частей железнодорожных локомотивов, трамвайных и прочих моторных вагонов и подвижного состава; производство путевого оборудования и устройств для железнодорожных, трамвайных и прочих путей, механического и электромеханического оборудования для управления движением"	30.20.40.150	Оборудование тормозное подвижного состава железных дорог
	Железнодорожное машиностроение	30.20.9	Предоставление услуг по восстановлению и оснащению (завершению) железнодорожных локомотивов, трамвайных моторных вагонов и прочего подвижного состава	30.20.9	"Услуги по восстановлению и переоборудованию (комплектованию) железнодорожных и трамвайных локомотивов и подвижного состава; операции процесса производства железнодорожных локомотивов и прочего подвижного состава отдельные, выполняемые субподрядчиком"
	Железнодорожное машиностроение	30.20.9	Предоставление услуг по восстановлению и оснащению (завершению) железнодорожных локомотивов, трамвайных моторных вагонов и прочего подвижного состава	30.20.91	Услуги по восстановлению и оснащению (завершению) железнодорожных локомотивов, трамвайных моторных вагонов и прочего подвижного состава
	Железнодорожное машиностроение	30.20.9	Предоставление услуг по восстановлению и оснащению (завершению) железнодорожных локомотивов, трамвайных моторных вагонов и прочего подвижного состава	30.20.99	Операции процесса производства железнодорожных локомотивов и прочего подвижного состава отдельные, выполняемые субподрядчиком
Департамент развития промышленности социально-значимых товаров	Народные художественные промыслы	32.99.8	Производство изделий народных художественных промыслов	32.99.56.110	Изделия художественной обработки дерева
	Народные художественные промыслы	32.99.8	Производство изделий народных художественных промыслов	32.99.56.120	Изделия художественной резьбы по камню, кости, рогу, перламутру и прочим материалам, кроме ювелирных
	Народные художественные промыслы	32.99.8	Производство изделий народных художественных промыслов	32.99.56.130	Изделия художественной обработки стекла и керамики
	Народные художественные промыслы	32.99.8	Производство изделий народных художественных промыслов	32.99.56.140	Изделия с миниатюрной живописью
	Народные художественные промыслы	32.99.8	Производство изделий народных художественных промыслов	32.99.56.150	Изделия художественной обработки металла, кроме ювелирных
	Народные художественные промыслы	32.99.8	Производство изделий народных художественных промыслов	32.99.56.160	Изделия художественного ручного ткачества, вязания, вышивки и прочие
	Народные художественные промыслы	32.99.8	Производство изделий народных художественных промыслов	32.99.56.170	Изделия ювелирные народных художественных промыслов
	Народные художественные промыслы	32.99.8	Производство изделий народных художественных промыслов	32.99.56.190	Изделия прочих видов народных художественных промыслов
	Народные художественные промыслы	23.13	Производство полых стеклянных изделий	23.13.1	Производство бутылок и прочих емкостей из стекла или хрусталя
	Народные художественные промыслы	23.13	Производство полых стеклянных изделий	23.13.2	Производство стаканов и прочих сосудов для питья из стекла или хрусталя
	Народные художественные промыслы	23.13	Производство полых стеклянных изделий	23.13.3	Производство столовой и кухонной посуды из стекла или хрусталя
	Народные художественные промыслы	23.13	Производство полых стеклянных изделий	23.13.4	Производство туалетных и канцелярский принадлежностей из стекла или хрусталя
	Народные художественные промыслы	23.13	Производство полых стеклянных изделий	23.13.5	Производство украшений для интерьера и аналогичных изделий из стекла или хрусталя
	Производство детских товаров	13.92	Производство готовых текстильных изделий, кроме одежды (в части производства товаров для детей)	13.92	Изделия текстильные готовые (кроме одежды) (в части производства товаров для детей)
	Производство детских товаров	13.99	Производство прочих текстильных изделий, не включенных в другие группировки (в части производства товаров для детей)	13.99	Изделия текстильные прочие, не включенные в другие группировки (в части производства товаров для детей)
	Производство детских товаров	14.11.1	Производство одежды из кожи,	14.11.10.130	Одежда детская из кожи
			кроме изготовленных по индивидуальному заказу (в части производства товаров для детей)		
	Производство детских товаров	14.13.1	Производство верхней трикотажной или вязаной одежды (в части производства товаров для детей)	14.13	Одежда верхняя прочая (в части производства товаров для детей)
	Производство детских товаров	14.13.2	Производство верхней одежды из текстильных материалов, кроме трикотажных и вязаных (в части производства товаров для детей)	14.13	Одежда верхняя прочая (в части производства товаров для детей)
	Производство детских товаров	14.14.1	Производство трикотажного и вязаного нательного белья (в части производства товаров для детей)	14.14	Белье нательное (в части производства товаров для детей)
	Производство детских товаров	14.14.2	Производство нательного белья из тканей (в части производства товаров для детей)	14.14	Белье нательное (в части производства товаров для детей)
	Производство детских товаров	14.14.3	Производство трикотажных или вязаных футболок, маек и прочих нижних рубашек (в части производства товаров для детей)	14.14	Белье нательное (в части производства товаров для детей)
	Производство детских товаров	14.19.1	Производство трикотажной или вязаной одежды для детей младшего возраста, спортивной или прочей одежды, аксессуаров и деталей одежды (в части производства товаров для детей)	14.19	Одежда прочая и аксессуары (в части производства товаров для детей)
	Производство детских товаров	14.19.2	Производство одежды для детей младшего возраста, спортивной или прочей одежды и аксессуаров одежды из текстильных материалов, кроме трикотажных или вязаных (в части производства товаров для детей)	14.19	Одежда прочая и аксессуары (в части производства товаров для детей)
	Производство детских товаров	14.19.3	"Производство аксессуаров одежды из кожи; производство одежды из фетра или нетканых материалов; производство одежды из"	14.19	Одежда прочая и аксессуары (в части производства товаров для детей)
			текстильных материалов с покрытием (в части производства товаров для детей)		
	Производство детских товаров	14.19.4	Производство головных уборов (в части производства товаров для детей)	14.19	Одежда прочая и аксессуары (в части производства товаров для детей)
	Производство детских товаров	14.19.21	Производство одежды и аксессуаров одежды для детей младшего возраста из текстильных материалов, кроме трикотажных или вязаных (в части производства товаров для детей)	14.19	Одежда прочая и аксессуары (в части производства товаров для детей)
	Производство детских товаров	14.3	Производство вязаных и трикотажных изделий одежды (в части производства товаров для детей)	14.3	Предметы одежды трикотажные и вязаные (в части производства товаров для детей)
	Производство детских товаров	15.20	Производство обуви (в части производства детской обуви)	15.20	Обувь (в части производства детской обуви)
	Производство детских товаров	17.23	Производство бумажных канцелярских принадлежностей (в части производства товаров для детей)	17.23.13.194	Тетради школьные ученические
	Производство детских товаров	20.41.3	Производство мыла и моющих средств, чистящих и полирующих средств (в части производства товаров для детей)	20.41.31.113	Мыло туалетное марки «Детское»
	Производство детских товаров	20.41.3	Производство мыла и моющих средств, чистящих и полирующих средств (в части производства товаров для детей)	20.41.31.190	Мыло прочее, не включенное в другие группировки (в части производства мыла для детей)
	Производство медицинских масок	21.20.2	Производство материалов, применяемых в медицинских целях (в части производства медицинских масок)	21.20.24.150	Изделия медицинские ватно-марлевые (в части производства медицинских масок)
	Производство детских товаров	22.19	Производство прочих резиновых изделий (в части производства	22.19.71.120	Соски различных типов (в том числе для бутылочек) и аналогичные изделия для детей
			товаров для детей)		
	Производство детских товаров	22.29	Производство прочих пластмассовых изделий (в части производства товаров для детей)	22.29.29.190	Изделия пластмассовые прочие, не включенные в другие группировки (в части производства товаров для детей)
	Производство детских товаров	30.92.4	Производство детских колясок и их частей	30.92.4	Коляски детские и их части
	Производство детских товаров	31.01	Производство мебели для офисов и предприятий торговли (в части производства мебели для образовательного процесса)	31.01.12.110	Столы письменные деревянные для офисов, административных помещений (в части производства мебели для образовательного процесса)
	Производство детских товаров	31.01	Производство мебели для офисов и предприятий торговли (в части производства мебели для образовательного процесса)	31.01.12.120	Столы письменные деревянные для учебных заведений (в части производства мебели для образовательного процесса)
	Производство детских товаров	31.01	Производство мебели для офисов и предприятий торговли (в части производства мебели для образовательного процесса)	31.01.12.121	Столы детские деревянные для дошкольных учреждений (в части производства мебели для образовательного процесса)
	Производство детских товаров	31.01	Производство мебели для офисов и предприятий торговли (в части производства мебели для образовательного процесса)	31.01.12.122	Столы ученические деревянные для учебных заведений, включая школьные парты
