	Отрасль промышленности	Код ОКВЭД 2	Наименование кода ОКВЭД 2	Код ОКПД 2	Наименование продукции по коду ОКПД2
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.25	Производство промышленного холодильного и вентиляционного оборудования	28.25.14.125	Аппараты центробежного действия сухие
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.25	Производство промышленного холодильного и вентиляционного оборудования	28.25.14.126	Каплеуловители
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.25	Производство промышленного холодильного и вентиляционного оборудования	28.25.14.129	Оборудование газоочистное и пылеулавливающее прочее
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.25	Производство промышленного холодильного и вентиляционного оборудования	28.25.20.120	Вентиляторы шахтные
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.25	Производство промышленного холодильного и вентиляционного оборудования	28.25.20.190	Вентиляторы прочие, кроме настольных, напольных, настенных, оконных, потолочных или вентиляторов для крыш
Департамент станкостроения и инвестиционного машиностроения	Нефтегазовое машиностроение	28.29	Производство прочих машин и оборудования общего назначения, не включенного в другие группировки	28.29.11	"Газогенераторы для получения генераторного или водяного газа; ацетиленовые и аналогичные газогенераторы; установки для дистилляции или очистки"
Департамент станкостроения и инвестиционного машиностроения	Нефтегазовое машиностроение	28.29	Производство прочих машин и оборудования общего назначения, не включенного в другие группировки	28.29.12.190	Оборудование и установки для фильтрования или очистки жидкостей прочие, не включенные в другие группировки (в части фильтрования или очистки нефти и нефтепродуктов)
Департамент станкостроения и инвестиционного машиностроения	Нефтегазовое машиностроение	28.29	Производство прочих машин и оборудования общего назначения, не включенного в другие группировки	28.29.22.110	Огнетушители
Департамент станкостроения и инвестиционного машиностроения	Станкоинструментальная промышленность	28.41	Производство металлообрабатывающего оборудования	28.41.1	"Станки для обработки металлов лазером и станки аналогичного типа; обрабатывающие центры и станки аналогичного типа"
Департамент станкостроения и инвестиционного машиностроения	Станкоинструментальная промышленность	28.41	Производство металлообрабатывающего оборудования	28.41.2	Станки токарные, расточные и фрезерные металлорежущие
Департамент станкостроения и инвестиционного машиностроения	Станкоинструментальная промышленность	28.41	Производство металлообрабатывающего оборудования	28.41.3	Станки металлообрабатывающие прочие
Департамент станкостроения и инвестиционного машиностроения	Станкоинструментальная промышленность	28.41	Производство металлообрабатывающего оборудования	28.41.4	Части и принадлежности станков для обработки металлов
Департамент станкостроения и инвестиционного машиностроения	Станкоинструментальная промышленность	28.49	Производство прочих станков	28.49.2	Оправки для крепления инструмента
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.91	Производство машин и оборудования для металлургии	28.91	Оборудование для металлургии
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.91	Производство машин и оборудования для металлургии	28.91.1	Оборудование для металлургии и его части
