ОГРН предприятия;Код ОКПД2 продукции, включенной в реестр по ПП 719
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1022200914273;28.92.50.000
1022200914273;28.92.50.000
1186658046740;28.99.39.190
1026701438686;20.30.22.220
1186658046740;28.99.39.190
1035010202809;14.12.11.120
1022200906705;14.12.30.150
1022200906705;14.12.30.150
1022200906705;14.12.30.150
1022200906705;14.12.30.150
1022200906705;14.12.30.150
1022200906705;14.12.30.150
1022200906705;14.12.30.150
1022200906705;14.12.30.150
1026701438686;20.30.12.120
1022200906705;14.12.30.150
1022200906705;14.12.30.150
1022200906705;14.12.30.150
1022200906705;14.12.30.150
1022200906705;14.12.30.150
1022200906705;14.12.30.150
1022200906705;14.12.30.150
1022200906705;14.12.30.150
1077761874024;20.15.20.120
1026701438686;20.30.12.120
1077761874024;20.15.20.120
1026901659344;32.99.11.120
1026901659344;32.50.50.190
1026701438686;20.30.11.120
1026901659344;32.99.11.120
1026901659344;32.99.11.120
1026901659344;32.99.11.120
1026901659344;32.99.11.120
1026901659344;32.99.11.120
1026901659344;32.99.11.120
1026901659344;32.99.11.120
1026901659344;32.99.11.120
1141690043880;29.10.59.140
1141690043880;29.10.59.140
1141690043880;29.10.59.140
1141690043880;29.10.59.140
5147746249668;26.20.15
5147746249668;26.20.15
5147746249668;26.20.2
5147746249668;26.20.2
1045206965055;29.10.30.110
1026604959347;26.51.66.131
1045206965055;29.10.30.110
1109847032459;28.29.12.114
1045206965055;29.10.30.110
1026604959347;26.51.66.131
1045206965055;29.10.30.110
1026604959347;26.51.66.131
1045206965055;29.10.30.110
1026604959347;26.51.66.131
1045206965055;29.10.30.110
1026604959347;26.51.66.131
1045206965055;29.10.30.110
1045206965055;29.10.30.110
1045206965055;29.10.30.110
1045206965055;29.10.30.110
1045206965055;29.10.30.110
1045206965055;29.10.30.110
1035010202809;14.12.11.120
